image_id,kind,class_name,score,iou,box
000001,missed,dog,,0.0,"[47.0, 239.0, 195.0, 371.0]"
000003,missed,sofa,,0.0,"[122.0, 154.0, 215.0, 195.0]"
000003,missed,chair,,0.0,"[238.0, 155.0, 307.0, 205.0]"
000004,localization,car,0.612821,0.042475,"[184.299637, 323.444641, 231.741486, 353.480011]"
000004,false_positive,car,0.560307,0.0,"[222.588638, 326.841461, 266.67926, 352.108734]"
000004,false_positive,car,0.51772,0.0,"[127.168137, 325.156555, 202.793884, 359.161133]"
000004,localization,car,0.512819,0.128128,"[0.0, 313.869965, 157.516846, 366.589203]"
000004,missed,car,,0.0,"[83.0, 322.0, 121.0, 350.0]"
000006,false_positive,chair,0.620774,0.0,"[152.570358, 210.27002, 222.136856, 373.65271]"
000006,missed,pottedplant,,0.0,"[186.0, 134.0, 282.0, 242.0]"
000011,localization,cat,0.918962,0.475728,"[164.148178, 142.429321, 327.191895, 296.751587]"
000011,false_positive,person,0.615395,0.0,"[145.037476, 59.827217, 307.564545, 252.22139]"
000011,missed,cat,,0.0,"[125.0, 50.0, 330.0, 308.0]"
000013,false_positive,sheep,0.847059,0.0,"[296.334137, 159.237579, 436.311096, 255.450882]"
000013,missed,cow,,0.0,"[298.0, 159.0, 446.0, 252.0]"
000014,missed,bus,,0.0,"[71.0, 162.0, 302.0, 228.0]"
000014,missed,car,,0.0,"[415.0, 179.0, 500.0, 222.0]"
000014,missed,person,,0.0,"[313.0, 7.0, 344.0, 65.0]"
000014,missed,person,,0.0,"[330.0, 3.0, 361.0, 61.0]"
000014,missed,person,,0.0,"[356.0, 7.0, 401.0, 61.0]"
000015,false_positive,person,0.681899,0.0,"[259.624969, 76.29528, 312.256226, 191.980255]"
000025,localization,person,0.855904,0.446098,"[123.622963, 5.316201, 236.669968, 235.536331]"
000025,false_positive,dog,0.701223,0.0,"[72.438828, 110.27636, 260.812134, 375.0]"
000025,localization,person,0.665025,0.385181,"[73.801834, 48.089687, 131.408798, 140.047821]"
000025,false_positive,horse,0.637763,0.0,"[74.000008, 146.465988, 382.895752, 375.0]"
000025,localization,person,0.558191,0.013669,"[94.68145, 24.630726, 260.435822, 358.779205]"
000025,localization,person,0.552364,0.395638,"[316.868195, 8.552456, 360.634125, 116.837219]"
000025,missed,cow,,0.0,"[1.0, 83.0, 59.0, 248.0]"
000025,missed,cow,,0.0,"[67.0, 114.0, 233.0, 279.0]"
000025,missed,cow,,0.0,"[63.0, 172.0, 377.0, 373.0]"
000025,missed,cow,,0.0,"[68.0, 42.0, 156.0, 177.0]"
000025,missed,person,,0.0,"[278.0, 0.0, 331.0, 86.0]"
000025,missed,person,,0.0,"[319.0, 21.0, 344.0, 96.0]"
000029,false_positive,dog,0.952984,0.0,"[120.118385, 60.19672, 449.627289, 297.454895]"
000038,missed,motorbike,,0.0,"[0.0, 234.0, 43.0, 315.0]"
000043,missed,person,,0.0,"[173.0, 228.0, 324.0, 375.0]"
000043,missed,person,,0.0,"[18.0, 5.0, 323.0, 500.0]"
000045,false_positive,tvmonitor,0.983573,0.0,"[2.198242, 122.707703, 207.828003, 291.931458]"
000055,localization,person,0.659733,0.393859,"[227.206421, 128.223114, 260.804321, 203.635651]"
000055,localization,person,0.542349,0.264721,"[223.806519, 129.306137, 245.79567, 202.342453]"
000055,missed,motorbike,,0.0,"[208.0, 131.0, 275.0, 222.0]"
000055,missed,person,,0.0,"[218.0, 106.0, 273.0, 187.0]"
000055,missed,person,,0.0,"[435.0, 278.0, 456.0, 327.0]"
000058,localization,person,0.964243,0.425115,"[229.806747, 57.228889, 357.727539, 349.718414]"
000058,missed,person,,0.0,"[278.0, 52.0, 334.0, 267.0]"
000059,missed,tvmonitor,,0.0,"[87.0, 160.0, 142.0, 206.0]"
000059,missed,tvmonitor,,0.0,"[176.0, 134.0, 273.0, 200.0]"
000059,missed,person,,0.0,"[71.0, 271.0, 115.0, 356.0]"
000059,missed,person,,0.0,"[124.0, 273.0, 171.0, 353.0]"
000067,false_positive,aeroplane,0.710335,0.0,"[116.170937, 119.471489, 462.990326, 208.438095]"
000070,missed,pottedplant,,0.0,"[357.0, 162.0, 378.0, 197.0]"
000074,false_positive,car,0.972289,0.0,"[334.143005, 73.77581, 477.788696, 187.65213]"
