class_id,class_name,map_50_95,mar_100
1,aeroplane,0.357065,0.428421
2,bicycle,0.383227,0.455193
3,bird,0.273221,0.349673
4,boat,0.209396,0.298479
5,bottle,0.091604,0.151812
6,bus,0.465437,0.560563
7,car,0.423796,0.475687
8,cat,0.4662,0.552793
9,chair,0.145625,0.277249
10,cow,0.283931,0.42377
11,diningtable,0.290202,0.418447
12,dog,0.414944,0.519223
13,horse,0.444163,0.541954
14,motorbike,0.403711,0.475385
15,person,0.320897,0.396444
16,pottedplant,0.082436,0.170625
17,sheep,0.293074,0.394215
18,sofa,0.369916,0.511715
19,train,0.45082,0.53617
20,tvmonitor,0.276569,0.362338
